Reference;UUID;Current_X;Current_Y;Rotation;New_X;New_Y;GY;GX;;;;
LED88;602579e4-63aa-4215-be7f-d4782135b003;34.375;222.053;180;30;29;0;0;30;29;;
LED89;1569cb13-3056-4d04-9cbb-63f227671632;34.375;242.569;180;30;50,25;1;0;339;114;;
LED90;8d379ddd-ed51-4912-9690-d4faef7821d1;34.375;263.084;180;30;71,5;2;0;309;85;;
LED91;652847c3-5fd2-44f7-bafa-22a5b1afa5f9;34.375;283.6;180;30;92,75;3;0;38,625;21,25;;
LED92;ddc6c272-7f63-4385-862c-5628197be567;34.375;302.65;180;30;114;4;0;;;;
LED93;7bd54969-2ee1-4cc3-81ef-28a4a5f26956;70.875;303.247;180;68,625;114;4;1;;;;
LED94;d30578b0-9c0e-44cb-b55a-f00b574686a5;94.559;303.15;180;107,25;114;4;2;;;;
LED95;6b597cb6-3d19-44f5-a8c5-3a2613334053;134.125;303.15;180;145,875;114;4;3;;;;
LED96;32188031-7ef0-4b26-b4a5-b16c47ffd161;316.875;301.65;180;184,5;114;4;4;;;;
LED97;43837d3a-a497-4b8a-9a1e-0116136c4457;325.875;301.15;180;223,125;114;4;5;;;;
LED98;94b54af8-1490-484a-b0ff-6dcd002485d2;335.375;301.15;180;261,75;114;4;6;;;;
LED99;5e0d99b5-31d4-4ddb-8630-7606b5a4048c;344.125;301.247;180;300,375;114;4;7;;;;
LED100;11752113-e2d0-4634-aab5-c5e5aa3131c9;352.875;301.247;180;339;114;4;8;;;;
LED101;b68d437e-7576-430a-af79-ba77b16ef576;352.875;282.197;180;339;92,75;3;8;;;;
LED102;cd53b0cf-93f8-4c85-94c3-5067fde39098;352.875;261.681;180;339;71,5;2;8;;;;
LED103;004170a7-9c31-4b4a-820e-c9ddeb98bbec;352.875;241.166;180;339;50,25;1;8;;;;
LED104;07851adb-0478-48d4-926f-6aa302ff5abc;352.875;220.65;180;339;29;0;8;;;;
LED105;ae282b87-7d17-4575-a710-f530e644270b;344.125;220.65;180;300,375;29;0;7;;;;
LED106;4bf87aeb-2002-48ad-b7f3-ba9e59d46fee;335.375;220.553;180;261,75;29;0;6;;;;
LED107;9b7cbfd9-c9b6-468a-a86b-bbf170fde1b7;325.875;220.553;180;223,125;29;0;5;;;;
LED108;28540016-1c5e-4b24-a068-d7fe42879076;316.875;221.053;180;184,5;29;0;4;;;;
LED109;e40b6d7e-ce23-49ec-a1bc-c77e4aa5890e;134.125;222.553;180;145,875;29;0;3;;;;
LED110;4437e2d2-e19d-4b6f-91a2-8f091ababdf5;94.559;222.553;180;107,25;29;0;2;;;;
LED111;9c5eef3f-3dde-442b-b1a3-feefc389e4c7;70.875;222.65;180;68,625;29;0;1;;;;